,arg_scorer,min-arg-quality,min-similarity,p,R-1,R-2,R-L
118,arg-quality,0.6000000000000001,0.8,0.8,0.5207947180887613,0.4172074229715408,0.4095705139787875
119,arg-quality,0.6000000000000001,0.8,1.0,0.4701605491641638,0.3813860228685122,0.42316800808766647
120,arg-quality,0.8,0.0,0.0,0.0,0.0,0.0
121,arg-quality,0.8,0.0,0.2,0.0,0.0,0.0
122,arg-quality,0.8,0.0,0.4,0.0,0.0,0.0
123,arg-quality,0.8,0.0,0.6000000000000001,0.0,0.0,0.0
124,arg-quality,0.8,0.0,0.8,0.0,0.0,0.0
125,arg-quality,0.8,0.0,1.0,0.0,0.0,0.0
126,arg-quality,0.8,0.2,0.0,0.0,0.0,0.0
127,arg-quality,0.8,0.2,0.2,0.0,0.0,0.0
128,arg-quality,0.8,0.2,0.4,0.0,0.0,0.0
129,arg-quality,0.8,0.2,0.6000000000000001,0.0,0.0,0.0
130,arg-quality,0.8,0.2,0.8,0.0,0.0,0.0
131,arg-quality,0.8,0.2,1.0,0.0,0.0,0.0
132,arg-quality,0.8,0.4,0.0,0.0,0.0,0.0
133,arg-quality,0.8,0.4,0.2,0.0,0.0,0.0
134,arg-quality,0.8,0.4,0.4,0.0,0.0,0.0
135,arg-quality,0.8,0.4,0.6000000000000001,0.0,0.0,0.0
136,arg-quality,0.8,0.4,0.8,0.0,0.0,0.0
137,arg-quality,0.8,0.4,1.0,0.0,0.0,0.0
138,arg-quality,0.8,0.6000000000000001,0.0,0.0,0.0,0.0
139,arg-quality,0.8,0.6000000000000001,0.2,0.0,0.0,0.0
140,arg-quality,0.8,0.6000000000000001,0.4,0.0,0.0,0.0
141,arg-quality,0.8,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0
142,arg-quality,0.8,0.6000000000000001,0.8,0.0,0.0,0.0
143,arg-quality,0.8,0.6000000000000001,1.0,0.0,0.0,0.0
144,arg-quality,0.8,0.8,0.0,0.0,0.0,0.0
145,arg-quality,0.8,0.8,0.2,0.0,0.0,0.0
146,arg-quality,0.8,0.8,0.4,0.0,0.0,0.0
147,arg-quality,0.8,0.8,0.6000000000000001,0.0,0.0,0.0
148,arg-quality,0.8,0.8,0.8,0.0,0.0,0.0
149,arg-quality,0.8,0.8,1.0,0.0,0.0,0.0
